model,cumulative_return,total_net_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,average_daily_return,mean_turnover,mean_cost,total_transaction_cost,candidate_feasibility,n_days,test_month
Gaussian Policy,0.029566263812638827,0.029566263812638827,0.3962053375100414,0.11611066604454859,2.8744825501420714,5.338806352575084,0.03350926015877054,11.823756646156232,0.5909090909090909,0.0013244368390096365,0.6504143173094759,0.00019512429519278178,0.0042927344942411995,1.0,22,2025-12
SS-FM,0.028994597324961013,0.028994597324961013,0.3873510127671329,0.12824813991899195,2.552833771265243,6.17215404578075,0.03020538788465077,12.82390460425009,0.5909090909090909,0.001299191201139495,0.6920407601775168,0.00020761222805320458,0.0045674690171705005,1.0,22,2025-12
Black-Litterman,0.023077645361051724,0.023077645361051724,0.2986689434987253,0.12128477328414927,2.1547622446043118,4.8873957890413156,0.033194041016314624,8.99766748350801,0.5,0.0010370628980876132,0.39815072180019817,0.00011944521654002522,0.002627794763880555,1.0,22,2025-12
MLP Policy,0.02294506366889948,0.02294506366889948,0.29674249633000915,0.12705401744894465,2.045235191535055,4.636114746806888,0.03311440035026303,8.961131507478804,0.5,0.001031172014732105,0.3936593465215637,0.00011809780395642379,0.0025981516870413235,1.0,22,2025-12
SS-FM + PPO,0.021709061122708873,0.021709061122708873,0.27890814002369213,0.12508248412023276,1.9667557774414481,4.369887297165169,0.025692623911019785,10.855572439374946,0.5,0.0009762170567468094,0.5373290894172928,0.00016119872682513638,0.0035463719901530004,1.0,22,2025-12
Risk Parity,0.01911187984121021,0.01911187984121021,0.24216050725968286,0.12296036354522885,1.7635943958474547,3.972888155367562,0.03361992662159208,7.202886252112091,0.5,0.0008605246351576636,0.3479491486753509,0.00010438474460257777,0.002296464381256711,1.0,22,2025-12
Equal Weight,0.01758912475298824,0.01758912475298824,0.22106575585799781,0.12401310089642238,1.6105076506945317,3.6264005198593283,0.03379663537537003,6.5410581083791515,0.5,0.0007925557451588933,0.3436781609195402,0.00010310344827584545,0.0022682758620686,1.0,22,2025-12
SS-FM + GRPO,0.015411224468147688,0.015411224468147688,0.19146319377488163,0.11726128421919008,1.4939468519630652,3.245622049504527,0.03128120186861694,6.120710917024205,0.5,0.0006951671683190684,0.5358558856783439,0.00016075676570345454,0.003536648845476,1.0,22,2025-12
SS-FM G=8,0.014522937306836958,0.014522937306836958,0.17957858500224955,0.13608316750247917,1.2136493173114062,1.9663154088268815,0.033219628239464005,5.405797551608814,0.45454545454545453,0.0006553858862577681,0.6772554472032207,0.00020317663416092728,0.0044698859515404,1.0,22,2025-12
Kelly,0.012574632055905033,0.012574632055905033,0.15388973252504323,0.11976208474613878,1.1951913781332195,2.960808181029704,0.030978618507517264,4.96761120860507,0.45454545454545453,0.0005680103615708136,0.3979046152393981,0.00011937138457178112,0.0026261704605791848,1.0,22,2025-12
MVO,0.012574632055905033,0.012574632055905033,0.15388973252504323,0.11976208474613878,1.1951913781332195,2.960808181029704,0.030978618507517264,4.96761120860507,0.45454545454545453,0.0005680103615708136,0.3979046152393981,0.00011937138457178112,0.0026261704605791848,1.0,22,2025-12
Standard FM,0.011092099248150689,0.011092099248150689,0.1346854428886235,0.1452139068595821,0.8701333944204835,1.8015082802991131,0.03629215480577008,3.7111448358312935,0.45454545454545453,0.0005014105940190004,0.683202369699761,0.00020496071090987726,0.0045091356400173,1.0,22,2025-12
Maximum Sharpe,0.009356530183181722,0.009356530183181722,0.1125742939377985,0.12099573680576574,0.8816551451513862,2.4499896989046475,0.031567456304996244,3.5661503052427173,0.45454545454545453,0.0004233194995880409,0.422946443572761,0.0001268839330718012,0.002791446527579626,1.0,22,2025-12
Diffusion,-0.012157364552889072,-0.012157364552889072,-0.13073783070368594,0.16439785876286866,-0.852264801262316,-1.2774481272811014,0.058378085538738134,-2.239501852401991,0.5454545454545454,-0.0005559940810574863,0.8616831081365693,0.0002585049324409286,0.00568710851370043,1.0,22,2025-12
Diffusion,0.07647756731338107,0.07647756731338107,1.530828977699756,0.22924266343173103,4.05049781895103,5.348527781573421,0.04965644243172973,30.828406199345018,0.65,0.003684709953336315,0.845625712956832,0.000253687713887,0.00507375427774,1.0,20,2026-01
SS-FM + PPO,-0.012761964888376331,-0.012761964888376331,-0.14941900424454668,0.11010392912686597,-1.469844353960727,-2.8392545096666875,0.02790793595934926,-5.353996958506377,0.4,-0.0006422049149841904,0.4783651239971495,0.00014350953719909998,0.0028701907439819996,1.0,20,2026-01
SS-FM G=128,-0.014678438452956244,-0.014678438452956244,-0.16999132924134563,0.15728560985806686,-1.1845910869851353,-2.0494653491696715,0.027958519835134976,-6.080126209961964,0.4,-0.0007393616331305052,0.6398105694801475,0.000191943170843985,0.0038388634168797,1.0,20,2026-01
SS-FM G=16,-0.017314217223589057,-0.017314217223589057,-0.19753725721943483,0.11954274989766718,-1.8409301416084107,-2.87576295801449,0.024577520801472796,-8.03731421143167,0.45,-0.000873293061497505,0.6391457956142548,0.000191743738684225,0.0038348747736845,1.0,20,2026-01
SS-FM G=32,-0.020772756777858392,-0.020772756777858392,-0.23240534315594397,0.16025062148244437,-1.6504989078095118,-2.998804197146225,0.04917977558713782,-4.7256283783597794,0.45,-0.0010495772846530551,0.6605022968945857,0.00019815068906833003,0.0039630137813666,1.0,20,2026-01
Maximum Sharpe,-0.025708482678508116,-0.025708482678508116,-0.2797547391338121,0.08601224624606991,-3.8153111819210093,-6.332672781660444,0.03112268917220018,-8.988771426079028,0.45,-0.001302236051130055,0.4162944142768068,0.00012488832428300304,0.002497766485660061,1.0,20,2026-01
Gaussian Policy,-0.02891292570554227,-0.02891292570554227,-0.30903987427775637,0.19562435871366007,-1.8897092595622298,-4.236565571769514,0.041240759671468785,-7.493554355924161,0.3,-0.0014669569922901849,0.6548729231576796,0.00019646187694725997,0.0039292375389452,1.0,20,2026-01
