market,generator,candidate_pool,G,agg,agg_label,n_seeds,total_mean,total_std,sharpe_mean,sharpe_std,turnover_mean,source_dir
CSI500,FM,Meta,64,pred_utility,Pred-Utility,20,0.3194237606158618,0.1188452600201364,0.9768923715134084,0.3713603133134247,0.6451640196154385,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,64,mean,Mean,20,0.5259160958273742,0.0087214936691754,2.5091741870859434,0.0434283028797733,0.134460660143703,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,64,topk,Top-k,20,0.4097642073292205,0.049082453699078,1.6004612875792297,0.1966760200886211,0.4391124144141322,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,64,softmax,Softmax,20,0.5258987138842733,0.0087200100796897,2.509012781472693,0.0434196628516317,0.1344597578178578,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,128,pred_utility,Pred-Utility,20,0.3735323160202837,0.1131318925864209,1.1174977078980033,0.3404213547152179,0.6232830070474376,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,128,mean,Mean,20,0.5256870503703415,0.0065259843731929,2.501612502440096,0.0289582029608724,0.1103310769327207,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,128,topk,Top-k,20,0.4477806639376731,0.0818299874536185,1.6946962613339884,0.300422351547329,0.4262413439183534,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,128,softmax,Softmax,20,0.5256949299117275,0.0065292760744221,2.501568200440291,0.0289701402900945,0.1103301962609294,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,SS-FM,Meta,8,pred_utility,Pred-Utility,20,0.366779797036683,0.1750768641565416,1.09120679362925,0.5136158147915318,0.7654782662479669,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,8,mean,Mean,20,0.5005274010023637,0.0498025939320606,2.369218193461457,0.2309393316906863,0.5070117098173632,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,8,topk,Top-k,20,0.3430478619267172,0.0901596143274219,1.3509360420075285,0.3360865439372075,0.5953417377245402,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,8,softmax,Softmax,20,0.5003005432926132,0.0498118542721146,2.367863132118848,0.2309412132176674,0.5069774067420573,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,32,pred_utility,Pred-Utility,20,0.4121388570794737,0.1831260804748485,1.1286632465388649,0.4835736417691436,0.7347108707292526,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
